Experiment,l_c,r_c,l_n,r_n,V,w
0,0.04,0.011999999999999993,0.041,0.014999999999999996,4.707676591404302e-05,10555.529227063253
1,0.04,0.014999999999999996,0.033999999999999996,0.00699999999999999,3.35082272431887e-05,4327.42201741182
2,0.042,0.021,0.04,0.001,5.8314242835933746e-05,397.2994721147589
3,0.032999999999999995,0.016999999999999998,0.045000000000000005,0.001,3.0102740806697382e-05,522.0111450814309
4,0.07646234936108944,0.0036308649895218153,0.03700608888601959,0.001,3.28303672880446e-06,1770.6038755639115
5,0.013000000000000001,0.015361092249967397,0.06558544425808427,0.001,9.84294423989443e-06,762.4202414276172
6,0.044000000000000004,0.02,0.041,0.001,5.5420836001977546e-05,402.57208910773
7,0.044000000000000004,0.026000000000000006,0.04,0.001,9.356919559451844e-05,313.51782798206136
8,0.043000000000000003,0.019,0.041,0.001,4.889574806047154e-05,428.6592171756842
9,0.037,0.019,0.038,0.001,4.2081633594835275e-05,480.00489065196746
10,0.039,0.02,0.044000000000000004,0.001,4.914707547275873e-05,412.76540068399834
11,0.039,0.02,0.042,0.001,4.914079228745155e-05,422.4788567287846
12,0.037,0.019,0.039,0.001,4.208477518748887e-05,473.81101966524847
13,0.04604771730685293,0.02651097258682795,0.025445434313651625,0.001,0.00010175379647157825,376.84024366588034
14,0.02484269272020186,0.0018264653387231123,0.04070472282160676,0.001,3.882359479616924e-07,5887.877341249757
15,0.037,0.024000000000000004,0.034999999999999996,0.001,6.706357837618133e-05,395.95496919926893
16,0.041,0.016999999999999998,0.045000000000000005,0.001,3.736610302179699e-05,468.3222773627746
17,0.04,0.02,0.038,0.001,5.038486297827311e-05,438.57122510062965
18,0.016874186680454005,0.03303125346589559,0.07024295031256514,0.001,5.805994849620566e-05,300.71429403838385
19,0.043000000000000003,0.022000000000000002,0.041,0.001,6.551163160530798e-05,370.2056875608181
20,0.044000000000000004,0.019,0.041,0.001,5.002986300841746e-05,423.7600937976105
21,0.036,0.021,0.039,0.001,4.9998447081881565e-05,434.59935254270755
22,0.045000000000000005,0.022000000000000002,0.041,0.001,6.85526932939829e-05,361.8853961439621
23,0.045430416221546144,0.014257619856028261,0.01239998276128491,0.003,2.9363468492190415e-05,3031.6722508048956
24,0.043000000000000003,0.016999999999999998,0.039,0.001,3.916309401965036e-05,491.2204865417681
25,0.042,0.02,0.041,0.001,5.290756187910571e-05,412.0456697080559
26,0.014800435740323546,0.001,0.03746972855347641,0.001,1.6421156414733346e-07,14521.597641466047
27,0.043000000000000003,0.023000000000000003,0.041,0.001,7.159061339000422e-05,354.1097881016521
28,0.039,0.016999999999999998,0.04,0.001,3.553455450475414e-05,509.30824053632415
29,0.041,0.021,0.037,0.001,5.6919375697739874e-05,418.09968320568026
30,0.042,0.023000000000000003,0.06700000000000002,0.001,7.001039228524857e-05,280.28641001842874
31,0.038,0.02,0.05100000000000001,0.001,4.791242955989794e-05,388.40520531867344
32,0.06548909586687657,0.012222622146943647,0.035689747913173635,0.001,3.0848143316061716e-05,578.7237425749084
33,0.04,0.02,0.043000000000000003,0.001,5.040057094154106e-05,412.28516154443935
34,0.014246815616837268,0.005371965964305648,0.054099494527234386,0.001,1.4615768495314273e-06,2292.995306093316
35,0.038,0.019,0.037,0.001,4.32126069501276e-05,480.00489065196746
36,0.037,0.018,0.039,0.001,3.778393484472444e-05,500.1338540910956
37,0.045000000000000005,0.02,0.039,0.001,5.6671189878106294e-05,408.1533520104138
38,0.039,0.02,0.05000000000000001,0.001,4.916592502868026e-05,387.2082680956117
39,0.039,0.02,0.06100000000000001,0.001,4.9200482547869755e-05,350.5618942586773
40,0.041,0.024000000000000004,0.037,0.001,7.430809103535941e-05,365.83722280497017
41,0.05931619216839573,0.01941213672304483,0.055974396329801175,0.001,7.039730298539286e-05,305.7294261431909
42,0.04,0.021,0.05300000000000001,0.001,5.558419881996422e-05,353.67527380064575
43,0.042,0.021,0.06700000000000002,0.001,5.8399065837580675e-05,306.9803538297077
44,0.04,0.019,0.039,0.001,4.548712003132662e-05,455.69684679565836
45,0.06712068136475284,0.024801027739211744,0.03987919714721274,0.001,0.00012982695939750143,266.5145133674518
46,0.039,0.02,0.039,0.001,4.913136750949078e-05,438.4270293955647
47,0.039,0.019,0.07200000000000002,0.002,4.5135261654124556e-05,679.3127510449327
48,0.045000000000000005,0.021,0.08,0.001,6.259623362277664e-05,271.40720867344487
49,0.037,0.019,0.04,0.001,4.2087916780142455e-05,467.85089536872414
50,0.042,0.024000000000000004,0.04,0.001,7.61270731817879e-05,347.637038100414
51,0.04,0.024000000000000004,0.045000000000000005,0.001,7.25236664081204e-05,335.84928600283405
52,0.04,0.019,0.057000000000000016,0.001,4.554366869909123e-05,376.9388481978401
53,0.039,0.02,0.06500000000000002,0.001,4.921304891848411e-05,339.6041166752423
