Experiment,Iteration,l_c,r_c,l_n,r_n,V,w
0,0,0.04,0.02,0.04,0.02,0.0001005309649148734,8549.327073213513
0,1,0.04,0.02,0.04,0.021,0.00010568317686676066,8976.793426874188
0,2,0.04,0.021,0.04,0.021,0.00011083538881864791,8549.327073213513
0,3,0.04,0.021,0.039,0.021,0.00010944994645841482,8658.24008911751
0,4,0.04,0.021,0.04,0.021,0.00011083538881864791,8549.327073213513
0,5,0.04,0.021,0.04,0.022000000000000002,0.00011623892818282236,8956.43788622368
0,6,0.04,0.021,0.041,0.022000000000000002,0.00011775945902715984,8846.538780776818
0,7,0.04,0.022000000000000002,0.041,0.022000000000000002,0.0001231629983913343,8444.423381650598
0,8,0.04,0.021,0.041,0.022000000000000002,0.00011775945902715984,8846.538780776818
0,9,0.039,0.021,0.041,0.022000000000000002,0.00011637401666692672,8959.238085725026
0,10,0.038,0.021,0.041,0.022000000000000002,0.00011498857430669362,9076.357279958811
0,11,0.038,0.021,0.041,0.023000000000000003,0.0001207848127525668,9488.918974502392
0,12,0.038,0.02,0.041,0.023000000000000003,0.00011589021139827389,9963.364923227511
0,13,0.038,0.02,0.04,0.023000000000000003,0.00011422830888452491,10087.138177314484
0,14,0.038,0.02,0.04,0.022000000000000002,0.00010857344210806327,9648.566952213854
0,15,0.037,0.02,0.04,0.022000000000000002,0.00010731680504662734,9778.083713206335
0,16,0.037,0.02,0.039,0.022000000000000002,0.00010579627420228989,9902.650311003694
0,17,0.038,0.02,0.039,0.022000000000000002,0.0001070529112637258,9771.48358844944
0,18,0.038,0.02,0.038,0.022000000000000002,0.00010553238041938832,9899.220821615649
0,19,0.038,0.02,0.038,0.023000000000000003,0.00011090450385702691,10349.18540441636
0,20,0.038,0.02,0.038,0.024000000000000004,0.00011651538833633827,10799.149987217072
0,21,0.039,0.02,0.038,0.024000000000000004,0.00011777202539777417,10659.800278308481
0,22,0.038,0.02,0.038,0.024000000000000004,0.00011651538833633827,10799.149987217072
0,23,0.038,0.02,0.038,0.023000000000000003,0.00011090450385702691,10349.18540441636
0,24,0.037,0.02,0.038,0.023000000000000003,0.00010964786679559098,10488.10686074549
0,25,0.037,0.02,0.038,0.024000000000000004,0.00011525875127490237,10944.111506864858
0,26,0.036,0.02,0.038,0.024000000000000004,0.00011400211421346644,11095.071900227194
0,27,0.036,0.02,0.039,0.024000000000000004,0.00011581167158193417,10951.903684076233
0,28,0.036,0.02,0.039,0.023000000000000003,0.00011005313224790406,10495.57436390639
0,29,0.034999999999999996,0.02,0.039,0.023000000000000003,0.00010879649518646814,10644.455195370036
0,30,0.034999999999999996,0.019,0.039,0.023000000000000003,0.00010450822121431807,11204.68967933688
0,31,0.034999999999999996,0.02,0.039,0.023000000000000003,0.00010879649518646814,10644.455195370036
0,32,0.034999999999999996,0.019,0.039,0.023000000000000003,0.00010450822121431807,11204.68967933688
0,33,0.034999999999999996,0.019,0.038,0.023000000000000003,0.00010284631870056907,11351.162427837045
0,34,0.034999999999999996,0.019,0.038,0.024000000000000004,0.00010845720317988045,11844.691229047352
0,35,0.034999999999999996,0.018,0.038,0.024000000000000004,0.00010438884069348167,12502.729630661095
0,36,0.036,0.018,0.038,0.024000000000000004,0.00010540671671324476,12327.857666919106
0,37,0.036,0.016999999999999998,0.038,0.024000000000000004,0.00010144830996972162,13053.02576497317
0,38,0.036,0.016999999999999998,0.038,0.023000000000000003,9.583742549041024e-05,12509.149691432622
0,39,0.036,0.015999999999999997,0.038,0.023000000000000003,9.210521341794555e-05,13290.971547147163
0,40,0.036,0.015999999999999997,0.038,0.022000000000000002,8.6733089980307e-05,12713.103219010327
0,41,0.037,0.015999999999999997,0.038,0.022000000000000002,8.753733769962598e-05,12540.127768282653
0,42,0.037,0.015999999999999997,0.038,0.021,8.240397530366027e-05,11970.121960633442
0,43,0.037,0.015999999999999997,0.038,0.02,7.750937394936737e-05,11400.11615298423
0,44,0.037,0.015999999999999997,0.039,0.02,7.876601101080327e-05,11253.011717049652
0,45,0.037,0.015999999999999997,0.038,0.02,7.750937394936737e-05,11400.11615298423
0,46,0.037,0.015999999999999997,0.038,0.019,7.285353363674729e-05,10830.110345335019
0,47,0.037,0.014999999999999996,0.038,0.019,6.925012686307979e-05,11552.117701690686
0,48,0.036,0.014999999999999996,0.038,0.019,6.854326851602209e-05,11711.46478357315
0,49,0.037,0.014999999999999996,0.038,0.019,6.925012686307979e-05,11552.117701690686
0,50,0.037,0.013999999999999995,0.038,0.019,6.587919794577794e-05,12377.268966097166
0,51,0.037,0.014999999999999996,0.038,0.019,6.925012686307979e-05,11552.117701690686
0,52,0.037,0.014999999999999996,0.039,0.019,7.038424181102572e-05,11403.051873276983
0,53,0.037,0.014999999999999996,0.039,0.018,6.585092361189564e-05,10802.891248367667
0,54,0.037,0.014999999999999996,0.04,0.018,6.686879963165872e-05,10667.000414406913
0,55,0.037,0.014999999999999996,0.041,0.018,6.788667565142182e-05,10536.112016783145
