,w,V
2,131.8407507897122,0.00036569292351496576
8,875.5436848320109,7.239746035675857e-06
12,9812.66240850708,2.2137137356298038e-07
16,270.4699231325013,6.302908196800073e-05
19,477.76493734685613,2.383687201996426e-05
21,176.27983052690763,0.00015091397845516026
24,157.73660623445886,0.00021436806218645254
26,241.78326319714571,7.880948031486873e-05
28,826.4320729251492,7.936408660116616e-06
42,159.9375813652771,0.00019079589495951655
50,234.83663316325712,8.856088762200353e-05
53,3957.191250744693,5.490104933327787e-07
55,176.72217174426237,0.00014915842072255799
64,5127.2772029155485,4.2181631201100763e-07
66,2483.228350328942,1.0935731998043625e-06
77,529.1033984358578,2.2139123246332847e-05
83,157.3430025104867,0.00022750232269479437
86,293.37748397765034,5.4280437868724456e-05
90,983.2114792076881,5.001942592283727e-06
96,1235.9259459197904,3.353321488993459e-06
103,227.41481706273078,9.645005065963285e-05
106,302.26435740255073,5.051680986972388e-05
107,2012.0702215705203,1.4293939946882255e-06
115,274.7857794568642,6.107256118578559e-05
123,400.70174621809696,2.885364752079072e-05
124,205.90324376729995,0.00010857349850789689
125,365.62639163777607,3.6879156160490575e-05
126,4319.490179050027,4.974395385536415e-07
127,153.87517896793085,0.00026715035938448334
128,347.0350687516363,3.8383979041560085e-05
133,340.1277933420116,3.99484921830478e-05
134,616.5549549850106,1.2482032796114936e-05
137,312.0307971094777,4.7419474034334804e-05
138,282.69345263531415,5.7717494702716864e-05
148,278.2364086442439,5.957333156071499e-05
