Experiment,l_c,r_c,l_n,r_n,V,w
0,0.042,0.014999999999999996,0.030999999999999993,0.013999999999999995,4.8776367539635095e-05,8845.516727565411
1,0.04700000000000001,0.019,0.032999999999999995,0.00499999999999999,5.5895216492669596e-05,2285.085360993801
2,0.04,0.021,0.04,0.001,5.5543358115467544e-05,407.1108130101673
3,0.041,0.015999999999999997,0.038,0.001,3.3093537012914866e-05,541.4872240884517
4,0.043000000000000003,0.025000000000000005,0.042,0.001,8.45622494566765e-05,321.87929538145283
5,0.037,0.015999999999999997,0.039,0.002,3.0247254068762513e-05,1125.301171704965
6,0.041,0.022000000000000002,0.042,0.001,6.247371150928664e-05,374.586972461869
7,0.04900000000000001,0.015999999999999997,0.039,0.001,3.953066036012036e-05,488.9242716105461
8,0.039,0.021,0.038,0.001,5.415163256992727e-05,423.0079475519238
9,0.034999999999999996,0.019,0.044000000000000004,0.001,3.983225325486498e-05,458.64637174157076
10,0.043000000000000003,0.021,0.041,0.001,5.970282678882044e-05,387.83452982561903
11,0.05774294356856968,0.04,0.047433939204958975,0.001,0.00029039670981360677,163.35704786208362
12,0.02130995661266505,0.017118774238121276,0.015390810695087808,0.001,1.96673923152558e-05,1103.0551538529758
13,0.04,0.02,0.037,0.001,5.038172138561952e-05,444.4583506002879
14,0.05427379219124739,0.03656872595643184,0.04537803405859443,0.001,0.00022815560721305435,188.43612794227707
15,0.042,0.018,0.039,0.001,4.2873314943539904e-05,469.4209519208718
16,0.042,0.015999999999999997,0.043000000000000003,0.001,3.39134926955018e-05,502.9363990335203
17,0.041,0.022000000000000002,0.039,0.001,6.246428673132587e-05,388.7272723145156
18,0.042,0.023000000000000003,0.04,0.001,6.992556928360164e-05,362.75169193086674
19,0.044000000000000004,0.019,0.043000000000000003,0.001,5.003614619372464e-05,413.7878711933668
20,0.04,0.023000000000000003,0.04,0.001,6.660176425610364e-05,371.7098727484135
21,0.041,0.019,0.041,0.001,4.662751816457971e-05,438.9898368787426
22,0.04,0.019,0.037,0.001,4.5480836846019434e-05,467.85089536872414
23,0.042,0.016999999999999998,0.043000000000000003,0.001,3.826774011337726e-05,473.351904972725
24,0.021537776310323498,0.020401065497437237,0.0591857409929341,0.001,2.834747974529932e-05,469.4940554651601
25,0.044000000000000004,0.021,0.039,0.001,6.108198596374636e-05,393.10990541333183
26,0.04,0.021,0.038,0.001,5.553707493016036e-05,417.68688104821877
27,0.038,0.013999999999999995,0.042,0.001,2.3530528975387534e-05,611.4309865269032
28,0.037,0.019,0.05100000000000001,0.001,4.212247429933194e-05,414.3357171518037
29,0.041,0.021,0.057000000000000016,0.001,5.698220755081167e-05,336.85521301658366
30,0.038,0.02,0.057000000000000016,0.001,4.793127911581947e-05,367.3945433953513
31,0.029401910245241615,0.00909533551020687,0.011738507136434054,0.001,7.678100501969458e-06,2023.8531249091934
32,0.04,0.016999999999999998,0.06400000000000002,0.001,3.651787300532775e-05,397.57861783964415
33,0.038,0.023000000000000003,0.08,0.001,6.340362293474922e-05,269.66668461038864
34,0.04677925533844071,0.012749120031424675,0.061063879922757434,0.001,2.4078947138549118e-05,501.8718813148435
35,0.018696935957467048,0.03962542575791995,0.017778247249594172,0.001,9.228499991586354e-05,473.35644094096864
36,0.04,0.022000000000000002,0.038,0.001,6.094061429433482e-05,398.7011137278451
37,0.029712689506655066,0.021671382963526387,0.07050763413417746,0.002,4.4725474455043236e-05,689.5190018442943
38,0.038,0.021,0.08,0.00899999999999999,7.300433008411956e-05,2658.1430340166858
39,0.034999999999999996,0.018,0.042,0.001,3.575760758315902e-05,495.5195015331918
40,0.04248384158103712,0.026027946449886232,0.07185711939931347,0.001,9.064344726057046e-05,237.79637346073807
41,0.039,0.019,0.039,0.001,4.4353005083380704e-05,461.50213620585765
42,0.044000000000000004,0.015999999999999997,0.06000000000000002,0.001,3.55753952092508e-05,415.9776312367652
43,0.044000000000000004,0.018,0.07500000000000002,0.001,4.502216431859533e-05,330.7215148674655
44,0.04,0.02,0.06100000000000002,0.001,5.0457119609305684e-05,346.15213514230453
45,0.013373010423661683,0.013468665580733164,0.08,0.001,7.872612286952781e-06,776.2610024947071
46,0.043000000000000003,0.018,0.042,0.001,4.390061574126377e-05,447.05457691868463
47,0.042,0.02,0.055000000000000014,0.001,5.2951544176255965e-05,355.75903466280425
48,0.041,0.021,0.06900000000000002,0.001,5.701990666265475e-05,306.1654324190928
49,0.037,0.016999999999999998,0.037,0.001,3.370928917301847e-05,543.6773973426718
