Experiment,Iteration,l_c,r_c,l_n,r_n,V,w
0,0,0.04,0.02,0.04,0.02,0.0001005309649148734,8549.327073213513
0,1,0.04,0.02,0.041,0.02,0.0001017876019763093,8444.423381650598
0,2,0.04,0.02,0.041,0.019,9.676419532321924e-05,8022.202212568069
0,3,0.04,0.02,0.042,0.019,9.789831027116514e-05,7926.124468689439
0,4,0.04,0.02,0.041,0.019,9.676419532321924e-05,8022.202212568069
0,5,0.04,0.02,0.041,0.018,9.19983992677235e-05,7599.981043485539
0,6,0.04,0.021,0.041,0.018,9.715061121961075e-05,7238.077184271941
0,7,0.04,0.02,0.041,0.018,9.19983992677235e-05,7599.981043485539
0,8,0.04,0.019,0.041,0.018,8.709751472812343e-05,7999.980045774252
0,9,0.04,0.019,0.04,0.018,8.607963870836033e-05,8099.362490412801
0,10,0.04,0.018,0.04,0.018,8.143008158104743e-05,8549.327073213513
0,11,0.039,0.018,0.04,0.018,8.041220556128433e-05,8658.24008911751
0,12,0.039,0.018,0.039,0.018,7.939432954152125e-05,8768.540587911295
0,13,0.04,0.018,0.039,0.018,8.041220556128433e-05,8658.24008911751
0,14,0.04,0.018,0.038,0.018,7.939432954152125e-05,8771.424502012595
0,15,0.04,0.016999999999999998,0.038,0.018,7.499609982649554e-05,9287.390649189805
0,16,0.04,0.016999999999999998,0.039,0.018,7.601397584625862e-05,9167.548329653833
0,17,0.041,0.016999999999999998,0.039,0.018,7.692189612314607e-05,9055.0588139146
0,18,0.041,0.016999999999999998,0.038,0.018,7.590402010338297e-05,9173.430619851417
0,19,0.04,0.016999999999999998,0.038,0.018,7.499609982649554e-05,9287.390649189805
0,20,0.04,0.015999999999999997,0.038,0.018,7.084919752375699e-05,9867.852564764169
0,21,0.039,0.015999999999999997,0.038,0.018,7.0044949804438e-05,9993.562760914201
0,22,0.039,0.016999999999999998,0.038,0.018,7.408817954960808e-05,9405.706127919248
0,23,0.039,0.016999999999999998,0.038,0.019,7.850525882055533e-05,9928.245357248095
0,24,0.039,0.016999999999999998,0.037,0.019,7.737114387260941e-05,10061.516358773806
0,25,0.039,0.016999999999999998,0.037,0.018,7.307030352984498e-05,9531.962866206763
0,26,0.039,0.016999999999999998,0.037,0.019,7.737114387260941e-05,10061.516358773806
0,27,0.039,0.018,0.037,0.019,8.16594178447595e-05,9502.543227730817
0,28,0.039,0.018,0.037,0.02,8.619273604388957e-05,10002.677081821912
0,29,0.039,0.018,0.036,0.02,8.493609898245364e-05,10140.651559329845
0,30,0.04,0.018,0.036,0.02,8.595397500221672e-05,10013.091115961412
0,31,0.04,0.018,0.034999999999999996,0.02,8.469733794078082e-05,10155.127871566916
0,32,0.04,0.018,0.033999999999999996,0.02,8.344070087934489e-05,10303.385755742442
0,33,0.04,0.018,0.033999999999999996,0.019,7.927494902068483e-05,9788.216467955319
0,34,0.04,0.016999999999999998,0.033999999999999996,0.019,7.487671930565911e-05,10363.993907246808
0,35,0.04,0.016999999999999998,0.033999999999999996,0.018,7.092459574744316e-05,9818.520543707504
0,36,0.04,0.018,0.033999999999999996,0.018,7.532282546246887e-05,9273.047180168196
0,37,0.04,0.018,0.032999999999999995,0.018,7.430494944270577e-05,9412.49932382188
0,38,0.04,0.016999999999999998,0.032999999999999995,0.018,6.990671972768006e-05,9966.17575463493
0,39,0.04,0.018,0.032999999999999995,0.018,7.430494944270577e-05,9412.49932382188
