Experiment,l_c,r_c,l_n,r_n,V,w
0,0.01010782538134072,0.002,0.04094669488373597,0.005444419743032488,3.9400636336811325e-06,45758.86425837961
1,0.032999999999999995,0.023000000000000003,0.042,0.00799999999999999,6.328738400656636e-05,3195.0117484333136
2,0.039,0.016999999999999998,0.04,0.009999999999999992,4.79752614129697e-05,5093.082405363237
3,0.0657703368669404,0.023979614496495386,0.0650747690837381,0.001,0.00011901753992615342,217.98588627388781
4,0.04,0.021,0.04,0.003,5.6548667764616275e-05,1221.3324390305017
5,0.042360402703871515,0.01756988481089368,0.046265661351320826,0.001,4.1226988692641735e-05,439.6565847524603
6,0.06456891832903143,0.033557222351219995,0.02069626887135223,0.001,0.00022849094565207615,278.771347028871
7,0.05748210897178388,0.008708256632299727,0.06342335682446434,0.001,1.3893713283251195e-05,650.3838453068649
8,0.038,0.019,0.042,0.001,4.322831491339555e-05,450.5280953356127
9,0.023312417633438012,0.03268715647543362,0.04255145304056911,0.001,7.838496315322796e-05,332.1726924943321
10,0.034580719270494845,0.013283927720605989,0.06677092638005766,0.001,1.938041989462132e-05,535.7407826051259
11,0.04,0.024000000000000004,0.039,0.001,7.250481685219887e-05,360.7600037132294
12,0.043000000000000003,0.021,0.041,0.001,5.970282678882044e-05,387.83452982561903
13,0.07309341904629085,0.014057463013278898,0.03876976732023914,0.001,4.549945380397611e-05,456.98215177364904
14,0.05147488519103528,0.02979379171013353,0.021310031782804745,0.001,0.00014361483765647432,346.55837958309604
15,0.04,0.016999999999999998,0.041,0.001,3.6445616374295185e-05,496.73078715591765
16,0.07527342512183613,0.030013159805468377,0.024792854173324545,0.001,0.00021309524605353072,263.75220617936367
17,0.039,0.018,0.039,0.001,3.981968688425063e-05,487.1411437728497
18,0.03706960686462943,0.022102303834483562,0.012105855542471834,0.001,5.69289497641656e-05,730.3779360457502
19,0.07207619980136051,0.037,0.030487436043097997,0.001,0.00031008400696394035,197.16680918321842
20,0.01,0.02756192582503763,0.016810927320091276,0.001,2.3918228146935108e-05,956.9440109374741
21,0.06501688371982232,0.017049202114828292,0.06280149133303205,0.001,5.956963331476312e-05,313.8989124149746
22,0.037,0.02,0.04,0.001,4.662123497927253e-05,444.4583506002879
23,0.03434034698769413,0.010006411872059334,0.038352009977152164,0.001,1.0922663698764727e-05,941.7099179898643
24,0.04533256052153878,0.022211436859298498,0.0546737672559748,0.001,7.04326177581849e-05,309.2577876768803
25,0.02632452780935468,0.015356744936647532,0.05608137592526489,0.001,1.9679516431801097e-05,579.5663038225632
26,0.043000000000000003,0.021,0.041,0.001,5.970282678882044e-05,387.83452982561903
27,0.038567757950582995,0.023285632564368754,0.07571377566244697,0.001,6.593558912234932e-05,271.7717024863761
28,0.039,0.021,0.033999999999999996,0.001,5.4139066199312916e-05,447.19904438954853
29,0.037,0.021,0.043000000000000003,0.001,5.139645581272901e-05,408.26066539178913
30,0.05285750794023254,0.001,0.04513303166569454,0.001,3.0784635934728014e-07,7001.503791751962
31,0.037,0.022000000000000002,0.039,0.001,5.6382163353976027e-05,409.2004260745327
32,0.020724152740622566,0.016999399618672605,0.06155659464885302,0.001,1.9007935239743704e-05,563.2259482537349
33,0.041,0.022000000000000002,0.042,0.001,6.247371150928664e-05,374.586972461869
34,0.027106358232721325,0.024665365501030434,0.037265751961182536,0.001,5.192499388560759e-05,436.22830022836865
35,0.026672580062179832,0.005221247437450542,0.0327410569193354,0.001,2.3872132961334947e-06,2216.3522622289565
36,0.043000000000000003,0.022000000000000002,0.037,0.001,6.549906523469361e-05,389.7033624194351
37,0.036,0.019,0.038,0.001,4.094751864688936e-05,486.6259605362803
38,0.06744275293909588,0.025849258118193875,0.0759849154592918,0.001,0.00014181200490912476,184.80448352257494
39,0.04,0.02,0.042,0.001,5.039742934888747e-05,417.1644457204968
40,0.06794324186797765,0.03542402025450194,0.04753143009936341,0.001,0.00026799943671863564,169.87540411843975
41,0.07725614474874942,0.0037249889891638605,0.02556517619073194,0.001,3.4480114502879756e-06,2065.7417127366225
42,0.038,0.022000000000000002,0.042,0.002,5.8307959650626565e-05,778.184891943331
43,0.013567168277284495,0.029264805304584314,0.02164743136379655,0.001,3.657115906288008e-05,681.865147873805
44,0.038,0.016999999999999998,0.08,0.002,3.5506280170871836e-05,729.6863230634049
45,0.042,0.023000000000000003,0.08,0.0029999999999999897,7.20618522880427e-05,769.5125437536252
46,0.027158834176721713,0.02148400286878369,0.06536250040677369,0.001,3.958676487297969e-05,377.79554417818935
47,0.04,0.021,0.043000000000000003,0.001,5.555278289342831e-05,392.652534804228
48,0.017083534458185234,0.009738204168230593,0.07783236715094288,0.001,5.334137516898456e-06,963.0394201727474
49,0.026648523359342778,0.03118473768208592,0.018822933893218027,0.001,8.147465607589842e-05,489.63177666883877
50,0.05597095612876708,0.04,0.05714483423007629,0.001,0.0002815202371330579,151.16877046785828
51,0.039,0.026000000000000006,0.042,0.001,8.295689561069212e-05,324.9837359452188
52,0.04,0.02,0.06600000000000002,0.001,5.047282757257362e-05,332.7821049894121
53,0.044000000000000004,0.02,0.08,0.001,5.554335811546755e-05,288.19775684569106
54,0.021902288944607513,0.029974658899412567,0.06241987228327491,0.001,6.201878470598377e-05,308.55421540185154
55,0.027202071458860565,0.02650676000108384,0.04105607290164393,0.001,6.017236281069196e-05,386.0518039876722
56,0.037,0.018,0.039,0.001,3.778393484472444e-05,500.1338540910956
57,0.04,0.016999999999999998,0.044000000000000004,0.001,3.645504115225595e-05,479.4978545607999
58,0.04773868871494384,0.028932678268754175,0.019589376218881467,0.001,0.0001256060251815991,386.5073344081152
