Experiment,l_c,r_c,l_n,r_n,V,w
0,0.039,0.024000000000000004,0.04900000000000001,0.011999999999999993,9.27398151339707e-05,3911.3941728843647
1,0.041,0.02,0.031999999999999994,0.00699999999999999,5.6448136799701394e-05,3304.4033246278887
2,0.041,0.023000000000000003,0.043000000000000003,0.001,6.827309154781341e-05,354.1097881016521
3,0.043000000000000003,0.022000000000000002,0.037,0.002,6.584778201924208e-05,779.4067248388702
4,0.039,0.00799999999999999,0.037,0.001,7.957654191542926e-06,1125.3011717049665
5,0.039,0.012999999999999994,0.041,0.001,2.083504247860749e-05,657.8461531476421
6,0.041,0.021,0.038,0.002,5.728065885290271e-05,825.1233890871645
7,0.039,0.021,0.04,0.001,5.415791575523445e-05,412.29714710083374
8,0.041,0.02,0.037,0.001,5.163835844705543e-05,439.0046673659643
9,0.043000000000000003,0.018,0.044000000000000004,0.001,4.3906898926570946e-05,436.776086259665
10,0.039,0.021,0.044000000000000004,0.001,5.417048212584882e-05,393.10990541333183
11,0.042,0.014999999999999996,0.042,0.001,2.9819997467874306e-05,542.8144173468899
12,0.038,0.025000000000000005,0.038,0.001,7.473220604359401e-05,359.9716662405689
13,0.039,0.024000000000000004,0.038,0.001,7.069211789107755e-05,370.13195410793327
14,0.036,0.022000000000000002,0.042,0.001,5.487105728759933e-05,399.7544870661974
15,0.042,0.02,0.039,0.001,5.2901278693798535e-05,422.4788567287846
16,0.041,0.021,0.042,0.001,5.6935083661007825e-05,392.42444734100565
17,0.039,0.021,0.04,0.001,5.415791575523445e-05,412.29714710083374
18,0.039,0.022000000000000002,0.038,0.001,5.942008344999736e-05,403.7803135722908
19,0.044000000000000004,0.018,0.039,0.002,4.5276633323536096e-05,917.2564459644409
20,0.041,0.019,0.038,0.001,4.661809338661895e-05,455.9892413376435
21,0.04,0.022000000000000002,0.037,0.001,6.0937472701681234e-05,404.0530460002617
22,0.044000000000000004,0.02,0.039,0.001,5.541455281667038e-05,412.76540068399834
23,0.046000000000000006,0.019,0.038,0.001,5.228866812634852e-05,430.4945012233496
24,0.041,0.02,0.037,0.001,5.163835844705543e-05,439.0046673659643
25,0.044000000000000004,0.021,0.042,0.001,6.109141074170713e-05,378.810183388445
26,0.04,0.018,0.041,0.001,4.0843846089320894e-05,469.1346323139222
27,0.041,0.019,0.044000000000000004,0.001,4.663694294254048e-05,423.7600937976105
28,0.037,0.02,0.04,0.001,4.662123497927253e-05,444.4583506002879
29,0.041,0.021,0.04,0.001,5.6928800475700645e-05,402.11539912621896
30,0.039,0.016999999999999998,0.055000000000000014,0.001,3.558167839455799e-05,434.3395269126393
31,0.039,0.022000000000000002,0.06700000000000002,0.001,5.951118963695147e-05,304.08817902894657
32,0.041,0.019,0.037,0.001,4.661495179396535e-05,462.11017617469923
33,0.04,0.02,0.06700000000000002,0.002,5.1107429288598766e-05,660.5786400800731
34,0.042,0.021,0.04800000000000001,0.001,5.833937557716247e-05,362.68313827024696
35,0.036,0.023000000000000003,0.039,0.001,5.9951012608454044e-05,396.80810449551564
36,0.039,0.016999999999999998,0.046000000000000006,0.001,3.5553404060675676e-05,474.93238317653646
37,0.04,0.021,0.05800000000000002,0.001,5.5599906783232155e-05,338.0871282007554
38,0.039,0.018,0.057000000000000016,0.001,3.987623555201524e-05,402.94863336163405
39,0.039,0.016999999999999998,0.042,0.001,3.554083769006132e-05,497.03394909268775
40,0.037,0.02,0.04700000000000001,0.001,4.664322612784766e-05,410.02669909780934
41,0.04,0.02,0.06300000000000001,0.001,5.046340279461285e-05,340.61334361539554
42,0.033999999999999996,0.018,0.07700000000000003,0.001,3.4849687306271566e-05,371.3082487980863
43,0.039,0.022000000000000002,0.041,0.001,5.942950822795812e-05,388.7272723145156
44,0.039,0.021,0.04700000000000001,0.001,5.417990690380958e-05,380.3569851817951
45,0.041,0.023000000000000003,0.04900000000000001,0.001,6.829194110373494e-05,331.7218809043131
46,0.042,0.014999999999999996,0.07700000000000003,0.003,3.1865174285361256e-05,1202.6850472135156
47,0.041,0.019,0.079,0.002,4.749145614431691e-05,632.5033707698575
48,0.04,0.021,0.043000000000000003,0.001,5.555278289342831e-05,392.652534804228
49,0.036,0.02,0.036,0.001,4.535203154722225e-05,474.9626151785285
50,0.039,0.02,0.038,0.001,4.912822591683718e-05,444.15834492951996
51,0.039,0.019,0.042,0.001,4.436242986134147e-05,444.71458603029953
52,0.037,0.022000000000000002,0.038,0.001,5.637902176132243e-05,414.54967829033546
53,0.036,0.016999999999999998,0.036,0.001,3.279822730347743e-05,558.7795472688572
54,0.04,0.02,0.041,0.001,5.039428775623387e-05,422.2211690825299
55,0.039,0.015999999999999997,0.06700000000000002,0.001,3.157614776123099e-05,418.1212461648017
56,0.037,0.024000000000000004,0.079,0.001,6.720180845293929e-05,263.55197448584926
57,0.04,0.021,0.041,0.001,5.554649970812113e-05,402.11539912621896
58,0.04,0.02,0.038,0.001,5.038486297827311e-05,438.57122510062965
59,0.041,0.023000000000000003,0.04,0.001,6.826366676985264e-05,367.1488426804608
60,0.042,0.02,0.041,0.001,5.290756187910571e-05,412.0456697080559
61,0.039,0.02,0.06100000000000002,0.001,4.9200482547869755e-05,350.5618942586773
62,0.042,0.022000000000000002,0.06700000000000002,0.002,6.47042422933354e-05,586.0534027658056
63,0.041,0.018,0.06600000000000002,0.001,4.1940261925423735e-05,365.2208159259927
64,0.039,0.02,0.06300000000000001,0.001,4.920676573317693e-05,344.9525420333072
65,0.04,0.02,0.05100000000000001,0.001,5.0425703682769775e-05,378.57056586944105
66,0.044000000000000004,0.02,0.05000000000000001,0.001,5.5449110335859864e-05,364.544531273507
67,0.037,0.022000000000000002,0.045000000000000005,0.001,5.640101290989756e-05,380.94486504782003
68,0.043000000000000003,0.019,0.055000000000000014,0.001,4.893973035762179e-05,370.1031233013181
69,0.041,0.015999999999999997,0.06800000000000002,0.001,3.318778479252256e-05,404.7860677956329
70,0.04,0.018,0.038,0.001,4.0834421311360123e-05,487.3013612229219
71,0.041,0.02,0.038,0.001,5.164150003970902e-05,433.1897792707613
72,0.043000000000000003,0.018,0.037,0.001,4.388490777799582e-05,476.3041096237541
73,0.038,0.021,0.042,0.001,5.277875658030853e-05,407.6206576846019
74,0.04,0.02,0.045000000000000005,0.001,5.040685412684824e-05,403.0191432034009
75,0.041,0.021,0.04700000000000001,0.002,5.739375618843193e-05,741.9280098458562
76,0.04,0.018,0.07400000000000002,0.002,4.1644952215986294e-05,698.3989192543369
77,0.038,0.023000000000000003,0.06100000000000002,0.001,6.334393267433102e-05,308.82138885570356
78,0.041,0.016999999999999998,0.06700000000000002,0.001,3.7435218060175965e-05,383.8076904244854
79,0.037,0.019,0.042,0.001,4.2094199965449635e-05,456.5757229193744
80,0.039,0.019,0.055000000000000014,0.001,4.4403270565838134e-05,388.61957671130887
81,0.039,0.02,0.06000000000000002,0.001,4.919734095521616e-05,353.4711714807907
82,0.041,0.024000000000000004,0.05400000000000001,0.001,7.436149811047043e-05,302.82510301349333
83,0.041,0.016999999999999998,0.07700000000000003,0.001,3.746663398671187e-05,358.01870001841604
84,0.045000000000000005,0.018,0.08,0.001,4.6055748301626364e-05,316.64174345235233
85,0.04,0.025000000000000005,0.045000000000000005,0.001,7.868118800915641e-05,322.4153145627207
86,0.039,0.021,0.06900000000000002,0.004,5.7500570338654e-05,1255.6707313530433
87,0.038,0.015999999999999997,0.07200000000000002,0.001,3.078760800517996e-05,408.61461345848755
88,0.043000000000000003,0.019,0.04,0.002,4.926959758624872e-05,867.9687611461882
89,0.037,0.021,0.07500000000000002,0.002,5.220384512470159e-05,618.2599733214411
90,0.041,0.02,0.057000000000000016,0.001,5.170119030012723e-05,353.69797366741295
91,0.042,0.016999999999999998,0.05900000000000002,0.001,3.83180055958347e-05,404.10325739245195
92,0.038,0.021,0.07400000000000002,0.001,5.28792875452234e-05,307.0895024034073
93,0.039,0.018,0.06600000000000002,0.001,3.990450988589755e-05,374.46837598194173
94,0.044000000000000004,0.021,0.07100000000000002,0.001,6.118251692866122e-05,291.35140467974423
95,0.039,0.021,0.08,0.001,5.428357946137804e-05,291.538108578867
96,0.042,0.022000000000000002,0.04700000000000001,0.002,6.445291488104821e-05,699.722218285873
97,0.043000000000000003,0.021,0.055000000000000014,0.001,5.974680908597069e-05,334.8552067964306
98,0.044000000000000004,0.02,0.08,0.001,5.554335811546755e-05,288.19775684569106
99,0.041,0.019,0.07900000000000003,0.001,4.6746898685416126e-05,316.2516853849287
100,0.042,0.02,0.05000000000000001,0.001,5.293583621298802e-05,373.12322337082077
101,0.041,0.015999999999999997,0.07400000000000002,0.001,3.32066343484441e-05,388.02897158377255
102,0.043000000000000003,0.019,0.07600000000000003,0.001,4.900570380334719e-05,314.8453610244844
103,0.04,0.02,0.07400000000000002,0.002,5.119539388289927e-05,628.5590273289031
104,0.042,0.02,0.07600000000000003,0.001,5.301751762198135e-05,302.6428977605275
105,0.037,0.021,0.04800000000000001,0.001,5.1412163775996964e-05,386.4124833259007
106,0.04,0.016999999999999998,0.043000000000000003,0.001,3.645189955960236e-05,485.0413665228699
107,0.034999999999999996,0.022000000000000002,0.07000000000000002,0.001,5.343849103756238e-05,314.04089080784485
108,0.04,0.02,0.078,0.001,5.0510526684416704e-05,306.11501400781043
109,0.041,0.02,0.05300000000000001,0.001,5.168862392951288e-05,366.80231231284733
110,0.042,0.016999999999999998,0.057000000000000016,0.001,3.8311722410527516e-05,411.13166703616224
111,0.041,0.022000000000000002,0.06400000000000002,0.002,6.314601233715485e-05,606.9002593817546
112,0.042,0.022000000000000002,0.07400000000000002,0.001,6.409477331853898e-05,278.8230911921525
113,0.039,0.019,0.07600000000000003,0.001,4.446924401156352e-05,330.5972396002707
114,0.041,0.02,0.08,0.002,5.2527429168021346e-05,597.1109036375375
115,0.046000000000000006,0.021,0.07700000000000003,0.003,6.590747227966029e-05,820.8609675263032
116,0.038,0.021,0.07200000000000002,0.001,5.2873004359916216e-05,311.3254197778952
117,0.042,0.018,0.07700000000000003,0.001,4.299269546437631e-05,334.0791797815321
118,0.041,0.015999999999999997,0.06300000000000001,0.001,3.317207682925461e-05,420.5423506283786
119,0.042,0.02,0.06000000000000002,0.001,5.2967252139523916e-05,340.61334361539554
120,0.042,0.019,0.07300000000000002,0.001,4.78621640774405e-05,325.05155456419783
121,0.039,0.018,0.08,0.001,3.99484921830478e-05,340.1277933420116
122,0.038,0.022000000000000002,0.07000000000000002,0.001,5.800008357057477e-05,301.38971267667387
123,0.043000000000000003,0.02,0.06100000000000002,0.001,5.422703079361343e-05,333.8587651026776
124,0.042,0.018,0.07500000000000002,0.001,4.298641227906914e-05,338.5042623855638
125,0.039,0.02,0.07900000000000003,0.001,4.9257031215634366e-05,308.0463581765328
126,0.043000000000000003,0.021,0.07500000000000002,0.001,5.980964093904249e-05,286.7528674318106
127,0.036,0.019,0.08,0.001,4.107946553834013e-05,335.383798203241
128,0.039,0.02,0.07200000000000002,0.001,4.9235040067059234e-05,322.673556746343
129,0.044000000000000004,0.021,0.08,0.001,6.121079126254353e-05,274.47405413875344
130,0.042,0.015999999999999997,0.05300000000000001,0.001,3.39449086220377e-05,453.01163972156235
131,0.042,0.016999999999999998,0.06200000000000002,0.002,3.891176660736317e-05,788.410696784942
132,0.045000000000000005,0.015999999999999997,0.05900000000000002,0.001,3.637650133591621e-05,414.8008887625772
133,0.042,0.021,0.05900000000000002,0.001,5.837393309635196e-05,327.13120836531823
134,0.042,0.019,0.08,0.001,4.7884155226015626e-05,310.50506151462184
135,0.038,0.022000000000000002,0.08,0.001,5.8031499497110666e-05,281.92426118358816
136,0.043000000000000003,0.018,0.08,0.001,4.401999626210018e-05,323.9218150118492
137,0.039,0.022000000000000002,0.06000000000000002,0.001,5.9489198488376335e-05,321.3374286189006
138,0.038,0.022000000000000002,0.08,0.002,5.878548173397222e-05,563.8485223671763
139,0.039,0.018,0.08,0.001,3.99484921830478e-05,340.1277933420116
140,0.043000000000000003,0.02,0.057000000000000016,0.003,5.564703067303601e-05,1036.1235074613687
141,0.038,0.02,0.07100000000000002,0.001,4.797526141296973e-05,329.1856956882913
142,0.039,0.016999999999999998,0.07500000000000002,0.001,3.5644510247629785e-05,371.9461494200156
143,0.044000000000000004,0.018,0.08,0.002,4.5791854518724825e-05,640.4394596570913
144,0.044000000000000004,0.019,0.07700000000000003,0.001,5.0142960343946695e-05,309.21932074743194
145,0.04,0.014999999999999996,0.07700000000000003,0.001,2.8516236516634534e-05,410.7951488584231
146,0.043000000000000003,0.02,0.07600000000000003,0.001,5.4274154683417275e-05,299.1030929732602
147,0.039,0.021,0.07800000000000003,0.001,5.427729627607087e-05,295.252119562931
148,0.045000000000000005,0.024000000000000004,0.08,0.001,8.168140899333466e-05,237.48130758926416
149,0.04,0.018,0.05200000000000001,0.001,4.087840360851038e-05,416.56977051336685
