Experiment,Iteration,l_c,r_c,l_n,r_n,V,w
0,0,0.04,0.02,0.04,0.02,0.0001005309649148734,8549.327073213513
0,1,0.04,0.019,0.04,0.02,9.563008037527331e-05,8999.291656014226
0,2,0.04,0.02,0.04,0.02,0.0001005309649148734,8549.327073213513
0,3,0.04,0.021,0.04,0.02,0.00010568317686676066,8142.216260203346
0,4,0.04,0.021,0.039,0.02,0.00010442653980532473,8245.942942016676
0,5,0.04,0.021,0.039,0.019,9.964817737921465e-05,7833.64579491584
0,6,0.04,0.021,0.039,0.02,0.00010442653980532473,8245.942942016676
0,7,0.04,0.022000000000000002,0.039,0.02,0.00010983007916949917,7871.12735374319
0,8,0.04,0.022000000000000002,0.04,0.02,0.0001110867162309351,7772.115521103192
0,9,0.04,0.022000000000000002,0.04,0.021,0.00011623892818282236,8160.721297158352
0,10,0.04,0.022000000000000002,0.039,0.021,0.00011485348582258926,8264.683721430349
0,11,0.04,0.021,0.039,0.021,0.00010944994645841482,8658.24008911751
0,12,0.04,0.02,0.039,0.021,0.00010429773450652756,9091.152093573386
0,13,0.041,0.02,0.039,0.021,0.00010555437156796346,8979.59999046531
0,14,0.041,0.02,0.04,0.021,0.00010693981392819657,8866.644550733128
0,15,0.041,0.02,0.04,0.02,0.0001017876019763093,8444.423381650598
0,16,0.041,0.02,0.04,0.021,0.00010693981392819657,8866.644550733128
0,17,0.04,0.02,0.04,0.021,0.00010568317686676066,8976.793426874188
0,18,0.04,0.02,0.04,0.02,0.0001005309649148734,8549.327073213513
0,19,0.04,0.019,0.04,0.02,9.563008037527331e-05,8999.291656014226
0,20,0.04,0.019,0.041,0.02,9.688671743670922e-05,8888.866717526946
0,21,0.04,0.019,0.042,0.02,9.814335449814515e-05,8782.409383589407
0,22,0.039,0.019,0.042,0.02,9.700923955019922e-05,8894.29172060599
0,23,0.04,0.019,0.042,0.02,9.814335449814515e-05,8782.409383589407
0,24,0.04,0.019,0.042,0.021,0.00010355317704762677,9221.52985276888
0,25,0.04,0.019,0.042,0.022000000000000002,0.00010922689338000993,9660.65032194835
0,26,0.04,0.018,0.042,0.022000000000000002,0.00010457733625269704,10197.353117612147
0,27,0.039,0.018,0.042,0.022000000000000002,0.00010355946023293396,10327.26094225918
0,28,0.039,0.018,0.043000000000000003,0.022000000000000002,0.00010507999107727143,10206.470109256736
0,29,0.04,0.018,0.043000000000000003,0.022000000000000002,0.0001060978670970345,10078.081726641853
0,30,0.04,0.016999999999999998,0.043000000000000003,0.022000000000000002,0.0001016996373820088,10670.91006350314
0,31,0.04,0.016999999999999998,0.043000000000000003,0.021,9.589083256552128e-05,10185.86869698027
0,32,0.04,0.018,0.043000000000000003,0.021,0.00010028906228054696,9619.987102703586
