Experiment,l_c,r_c,l_n,r_n,V,w
0,0.039,0.02,0.04900000000000001,0.013999999999999995,7.918070124107713e-05,5475.951842038113
1,0.045000000000000005,0.018,0.04,0.00899999999999999,5.598318108697009e-05,4030.1914320340056
2,0.038,0.014999999999999996,0.042,0.002,2.7388404753995805e-05,1141.3378415168856
3,0.042,0.018,0.043000000000000003,0.001,4.2885881314154264e-05,447.05457691868463
4,0.036,0.022000000000000002,0.02899999999999999,0.001,5.483021658310266e-05,481.0818733474571
5,0.041,0.015999999999999997,0.039,0.001,3.309667860556846e-05,534.499999432459
6,0.041,0.010999999999999992,0.043000000000000003,0.002,1.612579509087639e-05,1480.8227502432735
7,0.039,0.014999999999999996,0.04,0.001,2.769313924139401e-05,577.2160059411674
8,0.044000000000000004,0.018,0.046000000000000006,0.001,4.493105813164122e-05,422.29327409003486
9,0.04,0.014999999999999996,0.042,0.001,2.8406280773758896e-05,556.2192609606626
10,0.033999999999999996,0.019,0.042,0.001,3.8691855121611886e-05,476.2930220832281
11,0.043000000000000003,0.02,0.043000000000000003,0.001,5.4170482125848804e-05,397.6431196843494
12,0.042,0.022000000000000002,0.038,0.001,6.398167598300974e-05,389.0924459716655
13,0.043000000000000003,0.02,0.037,0.001,5.415163256992727e-05,428.67369866137864
14,0.04,0.022000000000000002,0.043000000000000003,0.001,6.095632225760277e-05,374.80469231312674
15,0.037,0.021,0.042,0.001,5.139331422007543e-05,413.0923207365769
16,0.038,0.02,0.039,0.001,4.787473044805486e-05,444.15834492951996
17,0.04,0.021,0.041,0.001,5.554649970812113e-05,402.11539912621896
18,0.04,0.018,0.043000000000000003,0.001,4.0850129274628075e-05,458.094623938266
19,0.042,0.021,0.043000000000000003,0.001,5.8323667613894516e-05,383.18963735887246
20,0.04,0.02,0.036,0.001,5.0378579792965935e-05,450.5891002182634
21,0.044000000000000004,0.023000000000000003,0.043000000000000003,0.001,7.32587990890604e-05,341.82476315973776
22,0.042,0.016999999999999998,0.043000000000000003,0.001,3.826774011337726e-05,473.351904972725
23,0.038,0.019,0.04700000000000001,0.001,4.32440228766635e-05,425.89014957767574
24,0.04,0.018,0.05900000000000002,0.001,4.090039475708551e-05,391.07802838163343
25,0.042,0.023000000000000003,0.05300000000000001,0.001,6.996640998809832e-05,315.1385319802172
26,0.039,0.019,0.04,0.001,4.435614667603429e-05,455.69684679565836
27,0.04,0.024000000000000004,0.05900000000000002,0.001,7.256764870527066e-05,293.308521286225
28,0.042,0.02,0.07900000000000003,0.001,5.3026942399942124e-05,296.8408982477845
29,0.039,0.016999999999999998,0.039,0.001,3.553141291210056e-05,515.7965051712528
30,0.044000000000000004,0.019,0.041,0.001,5.002986300841746e-05,423.7600937976105
31,0.042,0.022000000000000002,0.06000000000000002,0.002,6.461627769903489e-05,619.2969883916282
32,0.042,0.016999999999999998,0.05000000000000001,0.001,3.828973126195239e-05,438.9684980833186
33,0.043000000000000003,0.019,0.04,0.001,4.889260646781795e-05,433.9843805730941
34,0.044000000000000004,0.024000000000000004,0.05900000000000002,0.001,7.980587817914156e-05,279.65870215336
