Experiment,Iteration,l_c,r_c,l_n,r_n,V,w
0,0,0.03641398352654541,0.034551966426671736,0.023920874242674573,0.03953835006497362,0.0002540526259918559,13259.131479935964
0,1,0.03641398352654541,0.03555196642667174,0.023920874242674573,0.03953835006497362,0.0002620723689117907,12886.180759832092
0,2,0.03641398352654541,0.03555196642667174,0.024920874242674574,0.03953835006497362,0.0002669835614122893,12624.991843552893
0,3,0.03641398352654541,0.03555196642667174,0.025920874242674575,0.03953835006497362,0.0002718947539127879,12379.067199412455
0,4,0.03641398352654541,0.03655196642667174,0.025920874242674575,0.03953835006497362,0.0002801432926389925,12040.396851149615
0,5,0.03641398352654541,0.03655196642667174,0.025920874242674575,0.04,0.0002831334144046597,12180.980573406383
0,6,0.03741398352654541,0.03655196642667174,0.025920874242674575,0.04,0.00028733072748743686,12017.091581805636
0,7,0.03741398352654541,0.03655196642667174,0.025920874242674575,0.039,0.0002808975340678994,11716.664292260497
0,8,0.03741398352654541,0.03655196642667174,0.025920874242674575,0.04,0.00028733072748743686,12017.091581805636
0,9,0.03841398352654541,0.03655196642667174,0.025920874242674575,0.04,0.00029152804057021406,11859.644565185237
0,10,0.03841398352654541,0.03655196642667174,0.025920874242674575,0.039,0.00028509484715067654,11563.153451055605
0,11,0.03841398352654541,0.03555196642667174,0.025920874242674575,0.039,0.00027639326605297793,11888.399973632786
0,12,0.03841398352654541,0.03555196642667174,0.025920874242674575,0.038,0.00027012293828963124,11583.5692050781
0,13,0.03841398352654541,0.034551966426671736,0.025920874242674575,0.038,0.00026166271936881686,11918.819855128986
0,14,0.03741398352654541,0.034551966426671736,0.025920874242674575,0.038,0.0002579121654722265,12077.052474792383
0,15,0.03741398352654541,0.034551966426671736,0.026920874242674576,0.038,0.0002624486252640101,11850.623379869448
0,16,0.03841398352654541,0.034551966426671736,0.026920874242674576,0.038,0.0002661991791606005,11695.35741692403
0,17,0.03841398352654541,0.034551966426671736,0.026920874242674576,0.039,0.0002727114095582736,12003.129980527292
0,18,0.03741398352654541,0.034551966426671736,0.026920874242674576,0.039,0.0002689608556616832,12162.481889866014
0,19,0.03741398352654541,0.034551966426671736,0.025920874242674575,0.039,0.00026418249323557317,12394.869645181656
0,20,0.03741398352654541,0.03555196642667174,0.025920874242674575,0.039,0.00027242247415594777,12046.228743116593
0,21,0.03741398352654541,0.03555196642667174,0.026920874242674576,0.039,0.0002772008365820578,11820.377553247901
0,22,0.03641398352654541,0.03555196642667174,0.026920874242674576,0.039,0.00027323004468502766,11981.583760619653
0,23,0.03641398352654541,0.03555196642667174,0.026920874242674576,0.038,0.0002667178142873546,11674.363664193508
0,24,0.03541398352654541,0.03555196642667174,0.026920874242674576,0.038,0.0002627470223903244,11838.043267963281
0,25,0.03541398352654541,0.03555196642667174,0.027920874242674577,0.038,0.00026728348218210804,11624.117635538803
0,26,0.03541398352654541,0.03655196642667174,0.027920874242674577,0.038,0.0002753054997225656,11306.10143088786
