Experiment,l_c,r_c,l_n,r_n,V,w
0,0.033413983526545406,0.04,0.024920874242674574,0.037,0.00027513770159851833,10961.951909101392
1,0.05640798265624383,0.018947658762020987,0.047709631892057916,0.001,6.377103938330389e-05,347.90690787607764
2,0.07727604420901674,0.002,0.05485928664561287,0.0014008181696625105,1.3092715911281606e-06,3678.715269974834
3,0.06826052703073683,0.011786763903950347,0.048490518886962965,0.010226491162414766,4.572424091478661e-05,5157.161742817161
4,0.05063023047471689,0.012994754439024495,0.060756055184952584,0.002,2.7622859869444542e-05,948.9735461153884
5,0.06153584631724443,0.031890527165759304,0.03320861927296489,0.001,0.00019671244659950289,237.21422385776646
6,0.03855357669652895,0.029827040941535814,0.06141200649625679,0.002,0.00010852609503081506,471.2515243328555
7,0.03384735356173697,0.02116548806745388,0.02741710730965865,0.002,4.7980081543474946e-05,1060.768114328861
8,0.05048907930219484,0.029150137256056675,0.021705607955289023,0.001,0.00013484914598760916,354.3778889880484
9,0.024099606789724906,0.02793368025495159,0.021226870718339366,0.001,5.914337487126812e-05,541.2722973480172
10,0.06980901257792495,0.022921031411961657,0.022118890027335743,0.001,0.00011528996863468266,379.68230291304735
11,0.05387248137624306,0.036,0.04465478545799112,0.001,0.000219482314817989,193.6742707711858
12,0.05255777529887321,0.006401791746791138,0.07413127967212584,0.001,6.99979296979724e-06,855.797760998935
13,0.035131124417927706,0.019550033658693896,0.06641828287141051,0.001,4.239160856585075e-05,362.12171401987257
14,0.01699187827781526,0.028315152569874217,0.01328103251960959,0.001,4.284027533208033e-05,803.9636316886266
15,0.06932044022236657,0.02478909033680497,0.014489392038272052,0.001,0.0001338690138724245,435.2868985927755
16,0.05262333657064067,0.03280812867768858,0.03275697461515063,0.001,0.0001780501148785076,251.05529263637752
17,0.018354471929136848,0.0268498721302999,0.05728522069843935,0.001,4.17496017380636e-05,392.7873201040212
18,0.06780043083194762,0.012996676058888414,0.06326676005703703,0.002,3.677385349113011e-05,803.4994816944015
19,0.01845316554560163,0.017173155753134644,0.07384637544754856,0.001,1.732903682129662e-05,539.4383072769883
20,0.06479705230990221,0.009980289666504733,0.03272683544565593,0.001,2.0379240769028446e-05,744.079168338137
21,0.022866226637089343,0.02224296014489415,0.034009017735539174,0.001,3.564783433997311e-05,551.3216456288308
22,0.06013912980209071,0.029362313781170147,0.05614984598521006,0.001,0.00016306382698947968,200.42357000032587
23,0.026113367273563434,0.019397571329571713,0.015978494229818077,0.001,3.0918124937074884e-05,863.0683734992749
24,0.032456942635234805,0.026054168231773794,0.05131274507796619,0.001,6.937806580964803e-05,321.6238765615767
25,0.056418065558712115,0.003176843510240242,0.0786114827791237,0.001,2.035756698126434e-06,1616.3820233810618
26,0.060244288798492945,0.030974906149442354,0.06777732184372347,0.001,0.00018180034649168132,172.7753500288045
27,0.05802911725099696,0.030426179476922277,0.07279201367194588,0.001,0.0001689969076427684,172.93370738000507
28,0.03023323138353795,0.028102435460647612,0.02691290744488907,0.001,7.509510092762552e-05,426.6044404904983
29,0.023267873819043564,0.001,0.052478326399658375,0.001,2.379637061444156e-07,9786.414032158713
30,0.01733301618669715,0.004614955993668803,0.06563764178742015,0.001,1.3659427465769463e-06,2196.902603202314
31,0.027863751649915926,0.03568008023337096,0.06143063700958808,0.001,0.0001116329911843456,231.66146402814726
32,0.015718228151852687,0.032674607149412796,0.05310828474840065,0.001,5.288670000060053e-05,362.2418450144082
33,0.024969434184662152,0.0027575272415096795,0.05430629276865028,0.001,7.670914238885012e-07,3367.772010452753
34,0.04596745133366863,0.0113760113801217,0.0476308267255702,0.001,1.8838390047338254e-05,642.4400888638417
35,0.05230327212885715,0.010281522488489927,0.030146798291151855,0.001,1.746445991843862e-05,837.6246828905396
36,0.020274747798051745,0.014854152983848578,0.054165943202404636,0.001,1.4224205158247204e-05,694.7093529425651
37,0.07281334354662804,0.011097972202580322,0.015065847428411275,0.001,2.8221304927556573e-05,930.3492703939613
38,0.019561648278630196,0.019849254822318398,0.03423850524323014,0.001,2.4320291979322773e-05,665.7138543608173
39,0.012965042137593627,0.003,0.025059523186250113,0.001,4.4530474414090266e-07,6324.0792106030485
40,0.056742388270041876,0.033274728480994616,0.012974833236229732,0.001,0.00019741320822736153,378.76749816961546
41,0.03954649592586055,0.035233663184565514,0.039494525740370996,0.001,0.00015435571610747728,245.5905600882157
42,0.0596367575299005,0.024407687199889262,0.03201493589136385,0.001,0.00011171418740874816,320.6505322244564
43,0.07151440332531275,0.007560235850534167,0.019878356450386367,0.001,1.290390014656657e-05,1199.691502876876
44,0.023245286602230943,0.001192512952519557,0.06925450380206409,0.001,3.214205132492445e-07,7147.223370228256
45,0.02200688283702324,0.007763840255064645,0.06936405775951549,0.001,4.385279055830692e-06,1127.3760940203922
46,0.04959074001668433,0.001,0.023669590652941296,0.001,2.3015411663125486e-07,9981.51021281461
47,0.03620156565564776,0.00879307441452307,0.0732175369221576,0.001,9.02345802775997e-06,755.4051492849185
48,0.060643287478239966,0.019838579355775623,0.0515631650359939,0.001,7.514342536184866e-05,308.26214975485766
49,0.05974398991356345,0.017683998987010056,0.028921613094406315,0.001,5.878639396205002e-05,465.21432032946313
50,0.053043321381641244,0.004605744968381191,0.06520185460677237,0.001,3.7397639019927184e-06,1262.5445388242326
51,0.07547607910789132,0.020725419673559328,0.03831625888346506,0.001,0.00010197150850224849,306.8261532320112
52,0.07408789579788508,0.02926505421111924,0.013263415121293535,0.001,0.00019938228561580668,372.7702794336349
53,0.022761547726562994,0.014638082020782001,0.06293804324332303,0.001,1.5519886463465985e-05,617.2345590303202
54,0.05057463377477269,0.034999999999999996,0.01,0.001,0.00019466541588444047,434.46771110182243
55,0.015265481681724556,0.006778452687630742,0.0472209156288448,0.001,2.3518918489651076e-06,1879.0524222937415
56,0.051867078377930816,0.019167556631310256,0.04938060169429145,0.001,6.0020434414891305e-05,352.5340636996544
57,0.05808703747534859,0.03235705896692043,0.0702611386940586,0.001,0.00019127959131264304,165.43434549163956
58,0.05866107954058516,0.003,0.024022494708538025,0.001,1.7340718417243827e-06,3036.5930253299507
59,0.026325468690728743,0.0029734667245068435,0.07640550205239799,0.001,9.71261848047239e-07,2564.356894342501
60,0.04853138280350987,0.026257366077882045,0.02460772749397787,0.001,0.00010519476707867418,376.8718306166335
61,0.050368754048154836,0.015626504541186324,0.023692127550245988,0.001,3.871422174905356e-05,633.5012061239322
62,0.05828913544713409,0.029237407844659537,0.03339988841980391,0.001,0.00015664128438650724,265.0859700011539
63,0.018388330145556776,0.024336719354479074,0.029122654660851073,0.001,3.4306466997948483e-05,607.2160791989992
64,0.010145437707283468,0.027460453221736292,0.01811253018243321,0.001,2.4091455937923785e-05,918.6694353869042
65,0.018233979697312067,0.003,0.021291422386625805,0.001,5.824426061193301e-07,5785.322820868592
