Experiment,l_c,r_c,l_n,r_n,V,w
0,0.043000000000000003,0.022000000000000002,0.046000000000000006,0.016999999999999998,0.00010714715904333348,5941.622021461373
1,0.038,0.022000000000000002,0.034999999999999996,0.001,5.7890127827699126e-05,426.2294192270826
2,0.031999999999999994,0.018,0.046000000000000006,0.001,3.271654589448409e-05,495.1827570148338
3,0.03677017357908272,0.007956611112177905,0.04929775814644374,0.002,7.932599028889964e-06,2018.9816062616012
4,0.039,0.012999999999999994,0.046000000000000006,0.001,2.085075044187544e-05,621.0654241539324
5,0.037,0.022000000000000002,0.043000000000000003,0.002,5.6799995176903466e-05,779.4067248388702
6,0.038,0.021,0.045000000000000005,0.001,5.27881813582693e-05,393.79896800247235
7,0.021581233786962,0.027262299852707457,0.06007929678116625,0.001,5.0579529512915304e-05,348.3604784490554
8,0.04073260130920528,0.008107313585366115,0.025037085663192148,0.001,8.489623965709795e-06,1320.8454097408928
9,0.02184409210208016,0.019208374268317095,0.046144089603997795,0.001,2.5465046899611393e-05,560.7590274982837
10,0.07767605923899554,0.012825264718956293,0.08,0.001,4.039062171267769e-05,338.249372877456
11,0.05890114344076141,0.027147557947324742,0.02413483534808257,0.001,0.0001364509387936903,334.10049704375626
12,0.05171483588084119,0.004,0.06727924262916511,0.001,2.8108351501405106e-06,1449.3851586787766
13,0.04,0.023000000000000003,0.04,0.001,6.660176425610364e-05,371.7098727484135
14,0.039,0.019,0.044000000000000004,0.001,4.436871304664865e-05,434.48989545684043
15,0.041,0.02,0.04,0.001,5.1647783225016204e-05,422.2211690825299
16,0.041,0.02,0.04,0.001,5.1647783225016204e-05,422.2211690825299
17,0.07732875011842269,0.01067843497351987,0.052623607070089354,0.001,2.786700001748951e-05,502.02288395581496
18,0.042932619956782575,0.001,0.041067532356012564,0.001,2.6389426140630086e-07,8144.209251700474
19,0.038,0.019,0.038,0.001,4.32157485427812e-05,473.6469292639066
20,0.017723300476579145,0.005502920033496463,0.04173108796083718,0.001,1.8171925615418802e-06,2285.054527290064
21,0.037,0.022000000000000002,0.039,0.001,5.6382163353976027e-05,409.2004260745327
22,0.020096176285561707,0.02437662496373529,0.037012669641062965,0.001,3.7631754273065847e-05,514.3827862547735
23,0.039,0.02,0.04,0.001,4.913450910214436e-05,432.91200445587543
24,0.024980865506128165,0.022069880283731698,0.02369303494245726,0.001,3.8300297715029213e-05,636.9096927080683
25,0.06688370436962825,0.015995413996755973,0.03809565851601989,0.001,5.387991640816055e-05,423.5440027834924
26,0.04,0.019,0.037,0.001,4.5480836846019434e-05,467.85089536872414
27,0.043000000000000003,0.021,0.044000000000000004,0.001,5.9712251566781214e-05,374.37950250828425
28,0.014792638522922587,0.031374337670978025,0.014000000000000002,0.001,4.578908956676634e-05,757.4090969438929
29,0.01,0.037070152639301246,0.053602407580697196,0.001,4.3340044319660655e-05,398.4514402636681
30,0.050181016421047095,0.023781289725241,0.037119635265808804,0.001,8.927457709777136e-05,333.18461754989556
31,0.068862497215487,0.017883466663700682,0.016034912263601125,0.001,6.923921676648347e-05,575.4605231952104
32,0.039,0.018,0.041,0.001,3.98259700695578e-05,475.11111060663023
33,0.037,0.018,0.039,0.001,3.778393484472444e-05,500.1338540910956
34,0.03714491585370025,0.03301500480294212,0.05097824409673815,0.001,0.0001273557214925643,238.03369222495354
35,0.038,0.018,0.039,0.001,3.880181086448753e-05,493.50927214391106
36,0.044000000000000004,0.019,0.04,0.001,5.002672141576387e-05,429.0243961859788
37,0.06515803095641286,0.034139212779600914,0.07156101550530537,0.001,0.00023879975884179386,146.6952994129345
38,0.04,0.02,0.039,0.001,5.0388004570926705e-05,432.91200445587543
39,0.03756024708467106,0.03301157489195519,0.06748706401885887,0.001,0.00012880308414525362,205.7553763593399
40,0.02488669293028719,0.004784733588307199,0.07000722557031684,0.001,2.009849916162159e-06,1712.2971515638317
41,0.07681046458806472,0.0065626483776183835,0.06498592846794611,0.001,1.0596862786193474e-05,737.5524803917394
42,0.038,0.022000000000000002,0.04,0.001,5.790583579096708e-05,398.7011137278451
43,0.039,0.022000000000000002,0.045000000000000005,0.001,5.944207459857249e-05,371.0485018276489
44,0.05557693561934118,0.036614808031231835,0.03871336726871594,0.001,0.0002341982174287289,201.3526685361453
