Experiment,Iteration,l_c,r_c,l_n,r_n,V,w
0,0,0.04,0.02,0.04,0.02,0.0001005309649148734,8549.327073213513
0,1,0.04,0.02,0.039,0.02,9.927432785343747e-05,8658.24008911751
0,2,0.04,0.019,0.039,0.02,9.437344331383738e-05,9113.936935913167
0,3,0.04,0.018,0.039,0.02,8.972388618652448e-05,9620.266765686121
0,4,0.04,0.018,0.039,0.019,8.49455237604144e-05,9139.253427401816
0,5,0.04,0.018,0.039,0.02,8.972388618652448e-05,9620.266765686121
0,6,0.04,0.018,0.039,0.019,8.49455237604144e-05,9139.253427401816
0,7,0.04,0.016999999999999998,0.039,0.019,8.054729404538869e-05,9676.856570190159
0,8,0.04,0.018,0.039,0.019,8.49455237604144e-05,9139.253427401816
0,9,0.041,0.018,0.039,0.019,8.59633997801775e-05,9027.111101525974
0,10,0.042,0.018,0.039,0.019,8.698127579994061e-05,8918.998086496564
0,11,0.042,0.018,0.039,0.018,8.244795760081053e-05,8449.577134575691
0,12,0.042,0.018,0.039,0.016999999999999998,7.815968362866046e-05,7980.156182654819
0,13,0.041,0.018,0.039,0.016999999999999998,7.714180760889736e-05,8076.888880312713
0,14,0.041,0.018,0.039,0.015999999999999997,7.309857786372728e-05,7601.777769706081
0,15,0.041,0.018,0.04,0.015999999999999997,7.390282558304627e-05,7506.154117022755
0,16,0.041,0.019,0.04,0.015999999999999997,7.866862163854199e-05,7111.093374021556
0,17,0.041,0.018,0.04,0.015999999999999997,7.390282558304627e-05,7506.154117022755
0,18,0.041,0.018,0.041,0.015999999999999997,7.470707330236525e-05,7414.050578396542
0,19,0.041,0.018,0.042,0.015999999999999997,7.551132102168425e-05,7325.256350365437
0,20,0.04,0.018,0.042,0.015999999999999997,7.449344500192116e-05,7416.2568128088315
0,21,0.04,0.019,0.042,0.015999999999999997,7.914300212923407e-05,7025.927506871523
0,22,0.041,0.019,0.042,0.015999999999999997,8.027711707717997e-05,6939.716542451467
0,23,0.042,0.019,0.042,0.015999999999999997,8.141123202512589e-05,6856.603166487026
0,24,0.041,0.019,0.042,0.015999999999999997,8.027711707717997e-05,6939.716542451467
0,25,0.041,0.019,0.041,0.015999999999999997,7.9472869357861e-05,7023.83739005988
0,26,0.041,0.019,0.041,0.016999999999999998,8.372344421816797e-05,7462.827226938624
0,27,0.042,0.019,0.041,0.016999999999999998,8.485755916611389e-05,7373.448826354684
0,28,0.042,0.019,0.041,0.018,8.936574462401525e-05,7807.181110257902
0,29,0.042,0.019,0.042,0.018,9.038362064377833e-05,7713.678562297905
0,30,0.042,0.019,0.041,0.018,8.936574462401525e-05,7807.181110257902
0,31,0.043000000000000003,0.019,0.041,0.018,9.049985957196116e-05,7715.865909162315
0,32,0.043000000000000003,0.019,0.04,0.018,8.948198355219807e-05,7811.718850315693
0,33,0.043000000000000003,0.018,0.04,0.018,8.448370964033671e-05,8245.703230888786
0,34,0.044000000000000004,0.018,0.04,0.018,8.550158566009981e-05,8151.463527533597
0,35,0.044000000000000004,0.018,0.041,0.018,8.65194616798629e-05,8051.441782154601
0,36,0.044000000000000004,0.018,0.041,0.019,9.128525773535863e-05,8498.744103385414
0,37,0.044000000000000004,0.018,0.041,0.02,9.630866438844869e-05,8946.046424616225
0,38,0.044000000000000004,0.016999999999999998,0.041,0.02,9.147061170192042e-05,9472.28444959365
0,39,0.044000000000000004,0.018,0.041,0.02,9.630866438844869e-05,8946.046424616225
