Experiment,l_c,r_c,l_n,r_n,V,w
0,0.043000000000000003,0.014999999999999996,0.038,0.022000000000000002,8.817508100830472e-05,12407.87241849542
1,0.034999999999999996,0.011999999999999993,0.05400000000000001,0.0029999999999999897,1.7360441003737166e-05,1966.5320562592658
2,0.041,0.025000000000000005,0.043000000000000003,0.001,8.063840023234284e-05,325.78100505351995
3,0.037,0.024000000000000004,0.04,0.001,6.707928633944929e-05,370.3819588335732
4,0.039,0.023000000000000003,0.039,0.001,6.493672014970105e-05,381.240895126578
5,0.04800000000000001,0.019,0.038,0.001,5.4556898022240355e-05,421.4304439654224
6,0.039,0.023000000000000003,0.034999999999999996,0.001,6.492415377908668e-05,402.43686939017135
7,0.044000000000000004,0.022000000000000002,0.041,0.001,6.703216244964543e-05,365.9746264615727
8,0.041,0.025000000000000005,0.038,0.001,8.062269226907488e-05,346.55182341660907
9,0.04800000000000001,0.02,0.038,0.001,6.043795946976044e-05,400.35892176715123
10,0.04,0.023000000000000003,0.041,0.001,6.660490584875723e-05,367.1488426804608
11,0.042,0.022000000000000002,0.042,0.001,6.39942423536241e-05,370.100739100152
12,0.039,0.025000000000000005,0.039,0.001,7.669884304474124e-05,350.7416235164517
13,0.039,0.021,0.04,0.001,5.415791575523445e-05,412.29714710083374
14,0.039,0.019,0.038,0.001,4.4349863490727114e-05,467.5350999258105
15,0.037,0.019,0.038,0.001,4.2081633594835275e-05,480.00489065196746
16,0.043000000000000003,0.02,0.038,0.001,5.415477416258085e-05,422.99565063052546
17,0.038,0.016999999999999998,0.037,0.001,3.461720944990592e-05,536.4760542580814
18,0.041,0.021,0.039,0.001,5.692565888304706e-05,407.238094805683
19,0.043000000000000003,0.021,0.043000000000000003,0.001,5.9709109974127624e-05,378.7077330327137
20,0.039,0.02,0.042,0.001,4.914079228745155e-05,422.4788567287846
21,0.041,0.019,0.05000000000000001,0.001,4.665579249846202e-05,397.5222044665135
22,0.041,0.022000000000000002,0.06200000000000001,0.001,6.253654336235844e-05,308.3056400717256
23,0.038,0.019,0.038,0.001,4.32157485427812e-05,473.6469292639066
24,0.039,0.02,0.041,0.001,4.913765069479795e-05,427.59999954596714
25,0.037,0.021,0.06000000000000002,0.001,5.144986288784004e-05,345.61783202848716
26,0.041,0.024000000000000004,0.05200000000000001,0.001,7.435521492516325e-05,308.59371855418493
27,0.04,0.025000000000000005,0.038,0.001,7.865919686058127e-05,350.8569800805036
28,0.042,0.022000000000000002,0.038,0.001,6.398167598300974e-05,389.0924459716655
29,0.04,0.018,0.05000000000000001,0.001,4.08721204232032e-05,424.8194777241052
30,0.04,0.021,0.06300000000000001,0.001,5.5615614746500106e-05,324.393660586091
31,0.037,0.019,0.06200000000000002,0.001,4.215703181852143e-05,375.78688220449976
